name,category,primaryUPC,storeId,isAvailable,isFeatured,updatedAt,description,subsidised,UOM,disposableFee,_id,markup,stock,isMeasuredInWeight,images,tax,price
Wacky Monkey12G,Other,060631183916,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f77,48.0,True,False,,0.0,166.0
Nerds Rope,Other,079200076542,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f78,45.41,True,False,,0.0,135.0
Home Pride,Bakery,064947139186,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f7d,65.11,True,False,,0.0,149.0
Wonder Hot Dogs Buns,Bakery,064947140151,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f7f,99.52,True,False,,0.0,198.0
A-One Gur Biscuits 25Lb,Bakery,689462000546,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f88,38.08,True,False,,0.0,499.0
Bikano Gur Rewri 400Gm,Bakery,8901414002791,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f8c,51.54,True,False,,0.05,325.0
Country Harvest Raisin Cinnamon,Bakery,063400138841,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f90,32.06,True,False,,0.0,340.0
White Pita,Bakery,067603000011,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f91,39.6,True,False,,0.0,250.0
Pooja Gur(Jaggery) Biscuits,Bakery,072632829373,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f94,40.57,True,False,,0.0,350.0
Sugar Free Bread 600Gm,Bakery,063400138902,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f96,28.31,True,False,,0.0,272.0
Kimberleys Frstd Cookie,Bakery,770981351032,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f9c,56.89,True,False,,0.0,377.0
Hamburger,Bakery,068721022213,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f9e,98.5,True,False,,0.0,199.0
Kimberley Oero Cookie,Bakery,770981351995,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fa7,56.89,True,False,,0.0,377.0
Tb Cupcake,Bakery,770981734224,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fa9,56.89,True,False,,0.0,377.0
Frsh Mkt Chochip Muffin,Bakery,627735258836,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156faa,48.88,True,False,,0.0,397.0
Cereal Kisses,Bakery,065633160729,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fb7,16.69,True,False,,0.0,599.0
Garlic Bread,Bakery,460383839152,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fbd,64.33,True,False,,0.0,300.0
Dinner Rolls,Bakery,675786000140,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fbf,49.67,True,False,,0.0,329.0
Cinnamon Twists,Bakery,675786000942,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc3,48.17,True,False,,0.0,299.0
Verka Punjabi Vegetarian Cookies 2.5Lb,Bakery,884282110899,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc5,47.83,True,False,,0.0,600.0
Tuuti Fruti Cake,Bakery,882476012905,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc6,33.07,True,False,,0.0,375.0
Sprinkles,Bakery,639277843807,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc7,197.0,True,False,,0.12,100.0
Aapki Pasand Zeera Biscuits 2.2Lb,Bakery,628114900278,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc9,30.22,True,False,,0.0,460.0
Apki Pasand Coconut Cake Rusk 680G,Bakery,628114905631,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fcd,47.75,True,False,,0.0,400.0
Crispy Punjabi Gur Cookies 1.1Kg,Bakery,627265001810,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd5,50.89,True,False,,0.0,588.0
Aapki Pasand Coconut Cookies 350G,Bakery,628114902562,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fdb,43.09,True,False,,0.05,275.0
Wonder Bread Whole Wheat,Bakery,064947130978,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fdd,10.33,True,False,,0.0,271.0
Cereal Lucky Charms,Bakery,065633132122,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fdf,46.51,True,False,,0.0,336.0
Britannia Fruit Cake Eggless 250G,Bakery,6291007906233,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe2,64.33,True,False,,0.0,300.0
Canteen Suji Rusk 600G,Bakery,833508000469,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe6,47.67,True,False,,0.0,300.0
